COD_TIPO_NDG,ID_CUSTOMER,IMP_GBV,PRED_PROB_RECOVERY_12M_AHEAD,PRED_RECOVERY_RATE_12M_AHEAD,PRED_INCASSI_12M_AHEAD,PRED_RECOVERY_CLASS
C,6442,4565.0,0.7601703144439921,0.19000931334048202,867.3925153993004,A
F,10996,2498.35,0.9258160772661118,0.18985211065150664,474.3170206461916,A
C,15562,2425.77,0.9020074815929248,0.18940260614240692,459.44715990206646,A
F,14042,3831.2,0.8121361112963262,0.18927797877673289,725.161792289419,A
G,20391,2600.44,0.7759027647985464,0.18927484296588662,492.1978726422102,A
C,25088,4657.73,0.9911867561271634,0.1890404281705684,880.4992735029015,A
C,20552,390.82,0.8583472134618501,0.1888615986246904,73.8108899745015,A
G,11786,1772.7,0.8128516200013868,0.18816158962918414,333.55404993565475,A
C,15307,3758.93,0.8891849266518487,0.1878375885562024,706.0683467515659,A
G,22914,1088.76,0.9372827552826087,0.18775677931275844,204.4220710445589,A
C,25007,5079.05,0.9507231509058078,0.1876806664398496,953.2394888813182,A
G,13143,7795.57,0.9005760993758976,0.1865295859644841,1454.1044444571532,A
F,11167,3845.38,0.8633820081549437,0.1862085015400311,716.0424476520049,A
F,11119,2558.59,0.9474897742172981,0.18616041991986124,476.3081888027578,A
C,20654,1355.38,0.7927107507553185,0.18493594844064148,250.6584857974767,A
G,25165,2312.04,0.9450371394095863,0.1848153386180196,427.30045549840605,A
F,20918,1859.83,0.836084284872035,0.18422617689342322,342.6293705716953,A
G,12240,4328.12,0.7767082083051029,0.1841758890600565,797.1353489586118,A
G,20952,3156.09,0.9521160118415283,0.18405981641567726,580.9093459913548,A
F,1106,1260.14,0.9112418160189499,0.18398149090048288,231.84243594333452,A
G,21908,8288.39,0.879548224575156,0.1836921545267017,1522.512216657569,A
C,25754,1147.92,0.908761951260308,0.18343768112088765,210.57178291228936,A
F,12535,2831.9,0.8064183016736253,0.18319105634564384,518.7787524652288,A
F,15699,2331.77,0.784579698471237,0.1829413241741374,426.57709146952834,A
G,17972,2786.47,0.9565191573299839,0.18280456701476017,509.37944184961873,A
F,27445,1288.5,0.9312012464090385,0.18267012998097243,235.37046248048298,A
F,6523,4056.45,0.8804649664454469,0.18230477331515746,739.5101977142705,A
C,23973,2357.72,0.7602361024075691,0.18203269358504784,429.18212231933893,A
F,17257,1466.35,0.8203880956940748,0.18151476319990495,266.16417301818063,A
C,10713,2231.56,0.8142059444787655,0.18135366657595664,404.7015881842418,A
F,27478,1575.65,0.8412340698570181,0.18133220970208402,285.7160962170887,A
C,12442,1557.3,0.8534708584668728,0.1812990838817752,282.33706332908855,A
F,24861,2797.58,0.9703970385091516,0.1804570199330602,504.84294982433056,A
F,16235,4271.53,0.8746527244706546,0.18038537372327756,770.5215354201918,A
C,22431,4342.14,0.9557911477368213,0.1797129458444213,780.3387706688956,A
F,27589,3986.79,0.8313564212515827,0.1793020128850666,714.8394719500546,A
C,25430,1078.01,0.9791586092496101,0.1791120343476113,193.08456414706845,A
F,11595,4741.13,0.8839089290947301,0.17899244959545746,848.6264725505113,A
G,21384,6801.27,0.8895382061354665,0.17818438365297823,1211.8801030074912,A
